im looking for swedish food	inform(food,task)
restaurant in the south part of town that serves mexican food	inform(area,food,type)
im looking for an expensive restaurant in the east part of town	inform(area,pricerange,task,type)
noise	null()
i want an expensive restaurant in the east part of town	inform(area,pricerange,type)
portuguese food	inform(food)
id like to find a restaurant serving french food	inform(food,type)
looking for a sea food restaurant	inform(food,type)
south part of town italian food	inform(area,food)
id like a restaurant that serves australian asian food	inform(food,type)
a cheap restaurant serving mexican food	inform(food,pricerange,type)
spanish food	inform(food)
expensive restaurant in the south part of town	inform(area,pricerange,type)
moderately	inform(pricerange)
food type	inform(type)
im looking for an expensive restaurant that serves french food	inform(food,pricerange,task,type)
looking for a restaurant that serves turkish food	inform(food,type)
expensive restaurant in the south part of town	inform(area,pricerange,type)
find australian restaurant in north part of town	inform(area,food,type)
i want to find a cheap restaurant in the south part of town	inform(area,pricerange,type)
moderately priced priced restaurant chinese food	inform(food,pricerange,type)
i want a cheap restaurant in the north part of town	inform(area,pricerange,type)
expensive restaurant	inform(pricerange,type)
noise	null()
id like to find japanese food	inform(food)
sea food	inform(food)
im looking	null()
im trying to find a cheap restaurant in the east of town	inform(area,pricerange,type)
moderate price	inform(pricerange)
jamaican food	inform(food)
noise	null()
chinese restaurant in the south part of town	inform(area,food,type)
caribbean food	inform(food)
cheap restaurant in the north	inform(area,pricerange,type)
im looking for an expensive restaurant	inform(pricerange,task,type)
id like a restaurant in the north part of town serving swiss food	inform(area,food,type)
im looking for a moderately priced restaurant in the west part of town	inform(area,pricerange,task,type)
expensive restaurant	inform(pricerange,type)
im looking for a restaurant in the west part of town that serves christmas food	inform(area,food,task,type)
moderately	inform(pricerange)
cheap restaurant	inform(pricerange,type)
id like to find a moderately priced restaurant	inform(pricerange,type)
polynesian food	inform(food)
i would like a restaurant	inform(type)
i would like a cheap restaurant in the north part of town	inform(area,pricerange,type)
unintelligible	null()
and expensive restaurant that serves tuscan food	inform(food,pricerange,type)
moderately priced restaurant that serves indian food	inform(food,pricerange,type)
cheap restaurant in the east part of town	inform(area,pricerange,type)
im looking for a korean restaurant	inform(food,task,type)
im looking for a restaurant in the north part of town uh tuscan food	inform(area,food,task,type)
id like a restaurant in the center that serves danish food	inform(area,food,type)
cheap restaurant	inform(pricerange,type)
brazilian food	inform(food)
trying to find a cheap restaurant	inform(pricerange,type)
i want a restaurant	inform(type)
spanish food	inform(food)
mexican food	inform(food)
center	inform(area)
noise im looking for a cheap restaurant in the south part of town	inform(area,pricerange,task,type)
im looking for polish food	inform(food,task)
im looking for a cheap restaurant in the north part of town	inform(area,pricerange,task,type)
i want a cheap restaurant in the north part of town	inform(area,pricerange,type)
im looking for a moderately priced restaurant in the west part of town	inform(area,pricerange,task,type)
im looking for a moderately priced restaurant in the east part of town	inform(area,pricerange,task,type)
im looking for an expensive restaurant that serves european food	inform(food,pricerange,task,type)
im looking for a expensive restaurant serving mediterranean food	inform(food,pricerange,task,type)
sil	null()
a cheap restaurant in the south part of town	inform(area,pricerange,type)
im looking for a moderate priced restaurant in the south part of town	inform(area,pricerange,task,type)
looking for moderately priced restaurant in the north part of town	inform(area,pricerange,type)
expensive restaurant	inform(pricerange,type)
korean food in the north part of town	inform(area,food)
expensive	inform(pricerange)
i want a cheap restaurant in the west part of town	inform(area,pricerange,type)
im looking for a restaurant in the south part of town it should serve jamaican food	inform(area,food,task,type)
cheap restaurant south part of town	inform(area,pricerange,type)
expensive restaurant tuscan food	inform(food,pricerange,type)
italian food	inform(food)
venetian	inform(food)
noise	null()
just a moment	null()
i need a restaurant in the west part of town	inform(area,type)
spanish food	inform(food)
im looking for a restaurant in the south part of town that serves french food	inform(area,food,task,type)
traditional food	inform(food)
im looking for a moderately priced restaurant in the north part of town	inform(area,pricerange,task,type)
i want to find a restaurant in the west part of town that serves vietnamese food	inform(area,food,type)
west part of town cuban food	inform(area,food)
ya im looking for a restaurant serving persian food	inform(food,task,type)
expensive restaurant in the east	inform(area,pricerange,type)
expensive restaurant in the south part of town	inform(area,pricerange,type)
european food	inform(food)
noise	null()
looking for an expensive restaurant	inform(pricerange,type)
noise	null()
im looking for a cheap restaurant that serves malaysian food	inform(food,pricerange,task,type)
restauarant south part of town vanessa food	inform(area,type)
christmas food	inform(food)
im looking for an expensive restaurant that serves venetian food	inform(food,pricerange,task,type)
cheap restaurant in the west part of town	inform(area,pricerange,type)
im looking for a cheap restaurant in the south part of the town	inform(area,pricerange,task,type)
im looking for a restaurant in the north part of town that serves thai food	inform(area,food,task,type)
greek food	inform(food)
moderately priced restaurant	inform(pricerange,type)
an expensive restaurant in the south part of town	inform(area,pricerange,type)
im looking for an expensive restaurant serving turkish food	inform(food,pricerange,task,type)
i need a restaurant in the west part of town that serves english food	inform(area,food,type)
im looking for a moderately priced restaurant in the north part of town	inform(area,pricerange,task,type)
im looking for a restaurant in the north part of town	inform(area,task,type)
like to find a moderately priced restaurant in the west part of town	inform(area,pricerange,type)
im looking for a moderately priced restaurant in the south part of town	inform(area,pricerange,task,type)
i want a restaurant in the center	inform(area,type)
i want to find a cheap restaurant that serves	inform(pricerange,type)
im looking for an expensive restaurant in the east part of town	inform(area,pricerange,task,type)
expensive	inform(pricerange)
cheap restaurant	inform(pricerange,type)
im looking for a moderately priced restaurant in the east part of town	inform(area,pricerange,task,type)
sea food	inform(food)
gastropub	inform(food)
moderately priced restaurant in the north part of town	inform(area,pricerange,type)
cheap restaurant	inform(pricerange,type)
i need a caribbean restaurant in the south part of town	inform(area,food,type)
im looking for an expensive restaurant	inform(pricerange,task,type)
unintelligible	null()
restaurant north	inform(area,type)
christmas food west of town	inform(area,food)
i want to find a restaurant in the center and it should serve corsica food	inform(area,food,type)
sil	null()
im looking for a moderately priced restaurant	inform(pricerange,task,type)
noise	null()
id like a restaurant in the center that serves mediterranean food	inform(area,food,type)
im looking for an expensive restaurant and it should be east part of town	inform(area,pricerange,task,type)
im looking for a moderately priced restaurant in the north part of town	inform(area,pricerange,task,type)
id like a restaurant in the north part of town that serves traditional food	inform(area,food,type)
im looking for a cheap restaurant in the east part of town	inform(area,pricerange,task,type)
sil	null()
im looking for a restaurant in the center and it should serve traditional food	inform(area,food,task,type)
i want a restaurant that serves creative food	inform(food,type)
cheap	inform(pricerange)
im looking for a cheap restaurant in the north part of town	inform(area,pricerange,task,type)
moderately priced	inform(pricerange)
eritrean food in the east part of town	inform(area,food)
im looking for a moderately priced restaurant in the north part of town	inform(area,pricerange,task,type)
noise	null()
sil	null()
i would like a moderately priced restaurant	inform(pricerange,type)
im looking for a cheap restaurant in the west part of town	inform(area,pricerange,task,type)
unintelligible	null()
moderate	inform(pricerange)
sil	null()
lebanese restaurant in the west part of town	inform(area,food,type)
yea id like a	null()
restaurant in the west part of town	inform(area,type)
noise	null()
noise	null()
im looking for a cheap restaurant that serves portuguese food	inform(food,pricerange,task,type)
looking for a cheap restaurant	inform(pricerange,type)
lebanese food	inform(food)
i need to find a restaurant in the center and it should serve irish food	inform(area,food,type)
i am looking for an expensive restaurant that serves australian food	inform(food,pricerange,task,type)
im looking for a cheap restaurant in the north part of town	inform(area,pricerange,task,type)
i would like some danish food	inform(food)
unintelligible	null()
im looking for a restaurant in the center of town that serves thai food	inform(area,food,task,type)
noise	null()
looking for a moderately priced restaurant in the east part of town	inform(area,pricerange,type)
mexican food	inform(food)
static	null()
um i would like to find an expensive restaurant in the south part of town	inform(area,pricerange,type)
i need to find one in the south part of town	inform(area)
moderately priced west part of town	inform(area,pricerange)
looking for something moderately priced on the north side of town	inform(area,pricerange)
im looking for a restaurant that serves romanian food	inform(food,task,type)
breath id like a cheap restaurant in the north part of town	inform(area,pricerange,type)
irish food	inform(food)
moderately	inform(pricerange)
sil	null()
looking for a cheap restaurant in the east part of town	inform(area,pricerange,type)
id like a cheap restaurant in the south part of town	inform(area,pricerange,type)
im looking for a cheap restaurant that serves malaysian food	inform(food,pricerange,task,type)
do you have christmas food	inform(food)
looking for a cheap restaurant in the north part of town	inform(area,pricerange,type)
sil	null()
moderately priced restaurant	inform(pricerange,type)
im looking for a cheap restaurant in the south part of town	inform(area,pricerange,task,type)
im looking for a restaurant in the center of town serving german food	inform(area,food,task,type)
im looking for a restaurant in the center of town that serves romanian food	inform(area,food,task,type)
looking for caribbean food	inform(food)
i need a cheap restaurant serving italian food	inform(food,pricerange,type)
korean	inform(food)
im looking for a world food restaurant in the east part of town	inform(area,food,task,type)
im looking for moderately priced restaurant in the south part of town	inform(area,pricerange,task,type)
im looking for moderately priced restaurant in the east part of town	inform(area,pricerange,task,type)
im looking for a moderately priced restaurant in the south part of town	inform(area,pricerange,task,type)
im looking for a restaurant in the west part of town that should serve english food	inform(area,food,task,type)
thai	inform(food)
im looking for a restaurant in the west part of town that serves canapes food	inform(area,food,task,type)
im looking for an expensive restaurant that serves	inform(pricerange,task,type)
im looking for an expensive restaurant in the north part of town	inform(area,pricerange,task,type)
im looking for a restaurant in the north part of town	inform(area,task,type)
expensive restaurant in the south	inform(area,pricerange,type)
im looking for a restaurant in the north part of town that serves korean food	inform(area,food,task,type)
looking for a cheap restaurant that serves spanish food	inform(food,pricerange,type)
im looking for a restaurant that serves scandinavian food	inform(food,task,type)
im looking for a moderately priced restaurant in the east part of town	inform(area,pricerange,task,type)
the center of town	inform(area)
i want an irish restaurant thats expensive	inform(food,pricerange,type)
can i have a british restaurant in the east please	inform(area,food,type)
unintelligible irish food	inform(food)
unintelligible	null()
hm	null()
noise	null()
i want a cheap restaurant that serves cuban food	inform(food,pricerange,type)
cheap restaurant in the north	inform(area,pricerange,type)
cough	null()
im looking for an expensive restaurant that serves belgium food	inform(pricerange,task,type)
north part of town	inform(area)
unintelligible	null()
restaurant in the center	inform(area,type)
im looking for an expensive restaurant in the east part of town	inform(area,pricerange,task,type)
i want a cheap restaurant that serves european food	inform(food,pricerange,type)
im looking for a restaurant in the south part of town	inform(area,task,type)
expensive restaurant east part of town	inform(area,pricerange,type)
im looking for an expensive restaurant in the south part of town	inform(area,pricerange,task,type)
swiss food	inform(food)
european food	inform(food)
im looking for a restaurant that serves austrian food	inform(food,task,type)
expensive restaurant it should serve persian food	inform(food,pricerange,type)
noise	null()
modereate	inform(pricerange)
vietnamese food in any area	inform(area,food)
moderately	inform(pricerange)
steak house	inform(food)
im looking for an expensive restaurant	inform(pricerange,task,type)
the center of town	inform(area)
creative food	inform(food)
i would like afghan food	inform(food)
restaurant in the north part of town that serves turkish food	inform(area,food,type)
find restaurant in north part of town serving asian food	inform(area,food,type)
south part of town	inform(area)
noise	null()
japanese	inform(food)
portuguese food	inform(food)
sil	null()
im looking for a restaurant in the center of town	inform(area,task,type)
i want to find a moderately priced restaurant that serves vietnamese food	inform(food,pricerange,type)
gonville and caius college	null()
noise	null()
cheap restaurant	inform(pricerange,type)
east part of town	inform(area)
i need restaurant serves spanish food	inform(food,type)
bistro food	inform(food)
im looking for a moderately priced restaurant in the east part of town	inform(area,pricerange,task,type)
looking for something with gastropub on the east side of town	inform(area,food)
cantonese food	inform(food)
im looking for a restaurant in north part of town serving austrian food	inform(area,food,task,type)
im looking for an expensive restaurant in the south part of town	inform(area,pricerange,task,type)
im looking for a restaurant in the north part of town	inform(area,task,type)
i am looking for an expensive restaurant on the east part of town	inform(area,pricerange,task,type)
cheap restaurant	inform(pricerange,type)
traditional food	inform(food)
im looking for african food	inform(food,task)
i want a cheap restaurant in the north part of town	inform(area,pricerange,type)
id like a portuguese restaurant	inform(food,type)
cheap restaurant	inform(pricerange,type)
i want to find a restaurant in the east part of town that serves basque food	inform(area,food,type)
id like a moderately priced restaurant in the north part of town	inform(area,pricerange,type)
moderately priced restaurant in the north part of town	inform(area,pricerange,type)
gastropub	inform(food)
unintelligible	null()
sil	null()
restaurant	inform(type)
im looking for a restaurant that serves mexican food	inform(food,task,type)
im looking for an expensive restaurant that serves gastropub food	inform(food,pricerange,task,type)
im looking for a moderately priced restaurant in the west part of town	inform(area,pricerange,task,type)
i want to find a cheap restaurant	inform(pricerange,type)
unintelligible	null()
i want to find a moderately priced restaurant and it should be in the north part of town	inform(area,pricerange,type)
expensive restaurant in the east part of town	inform(area,pricerange,type)
i want to find a moderately priced restaurant in the south part of time	inform(area,pricerange,type)
im looking for a moderately priced restaurant that serves scottish food	inform(food,pricerange,task,type)
i would like to find a restaurant in the north part of town that serves kosher food	inform(area,food,type)
im looking for a cheap restaurant in the south part of town	inform(area,pricerange,task,type)
im looking for a cheap restaurant	inform(pricerange,task,type)
european food	inform(food)
im looking for a moderately priced restaurant that serves austria asian food	inform(food,pricerange,task,type)
swedish food	inform(food)
i would like to find a restaurant in the north part of town	inform(area,type)
id like to find a restaurant in any area serving mediterranean food	inform(area,food,type)
moderately priced north part of town	inform(area,pricerange)
italian food cheap restaurant	inform(food,pricerange,type)
i need to find a restaurant in the west part of town	inform(area,type)
expensive restaurant serves	inform(pricerange,type)
im looking for a moderately priced restaurant and it should be in the east part of town	inform(area,pricerange,task,type)
sil	null()
moderate price	inform(pricerange)
european food	inform(food)
can i have an expensive restaurant	inform(pricerange,type)
i want to find a restaurant in the north part of town and it should serve	inform(area,type)
looking for a moderately priced restaurant in the west part of town	inform(area,pricerange,type)
looking for a moderately priced restaurant	inform(pricerange,type)
restaurant in the south part of town that serves indian food	inform(area,food,type)
noise	null()
im looking for a restaurant in the west part of town	inform(area,task,type)
im looking for a restaurant in the west part of town that serves	inform(area,task,type)
im looking for a restaurant in the center of town that serves	inform(area,task,type)
west	inform(area)
moderately priced	inform(pricerange)
i need a restaurant in the west part of town that serves european food	inform(area,food,type)
south part of town	inform(area)
unintelligible	null()
im looking for a restaurant that serves english food	inform(food,task,type)
im looking for an expensive restaurant in the east part of t	inform(area,pricerange,task,type)
british food	inform(food)
north	inform(area)
im looking for a cheap restaurant and it should be in north part of town	inform(area,pricerange,task,type)
im looking for a eritrean restaurant in the center of town	inform(area,food,task,type)
sil	null()
sil	null()
i want to find	null()
can i get a restaurant in the south part of town that serves cuban food	inform(area,food,type)
east	inform(area)
i want to find a moderately priced restaurant that serves vietna	inform(pricerange,type)
id like a restaurant in the east part of town	inform(area,type)
im looking for polynesian food	inform(food,task)
i am looking for a cheap restaurant and it should serve seafood	inform(food,pricerange,task,type)
i would like an expensive restaurant that serves korean food	inform(food,pricerange,type)
im looking for a restaurant that serves mediterranean food	inform(food,task,type)
id like an expensive restaurant in the south part of town	inform(area,pricerange,type)
north part of town	inform(area)
im looking for a moderately priced restaurant	inform(pricerange,task,type)
i am looking for a cheap restaurant	inform(pricerange,task,type)
unintelligible	null()
international food	inform(food)
can i have a caribbean food	inform(food)
west part of town serving barbecue food	inform(area,food,type)
i want to find a moderately priced restaurant in the east part of town	inform(area,pricerange,type)
im looking for a cheap restaurant in the west part of town	inform(area,pricerange,task,type)
id like a moderately priced restaurant that serves	inform(pricerange,type)
uh id like a cheap restaurant in the	inform(pricerange,type)
moderate restaurant north part of town	inform(area,pricerange,type)
i need an expensive restaurant in the east part of town	inform(area,pricerange,type)
im looking for a restaurant on the east part of town	inform(area,task,type)
im looking for an expensive restaurant	inform(pricerange,task,type)
im looking for a moderately priced restaurant in the west part of town	inform(area,pricerange,task,type)
expensive restaurant in the east of town	inform(area,pricerange,type)
cheap restaurant serving chinese food	inform(food,pricerange,type)
vietnamese food	inform(food)
im looking for a cheap restaurant in the east part of to	inform(area,pricerange,task,type)
find me a restaurant in the center of town	inform(area,type)
looking for a restaurant in the north of town	inform(area,type)
moderately priced restaurant in the north part of town	inform(area,pricerange,type)
im looking for an expensive restaurant that serves mediteranian	inform(food,pricerange,task,type)
im looking for a moderately priced restaurant in the north part of town	inform(area,pricerange,task,type)
food	inform(type)
a moderately priced restaurant	inform(pricerange,type)
uh moderately priced restaurants in the south part of	inform(area,pricerange,type)
im looking for an expensive restaurant that serves portuguese food	inform(food,pricerange,task,type)
im looking for a restaurant in the center	inform(area,task,type)
i would like an expensive restaurant in the south of town	inform(area,pricerange,type)
i want a restaurant in the we	inform(type)
im looking for a restaurant in any area serving african food	inform(area,food,task,type)
i want to find an expensive restaurant in the east part of t	inform(area,pricerange,type)
i want a restaurant in the center that serves french food	inform(area,food,type)
a moderately priced restaurant in the	inform(pricerange,type)
im looking for an expensive restaurant	inform(pricerange,task,type)
i would like to find a restaurant in the west part of town	inform(area,type)
i want a moderately priced restaurant that serves	inform(pricerange,type)
cheap restaurant	inform(pricerange,type)
international food	inform(food)
id like a restaurant in the west part of town that serves danish	inform(area,food,type)
im looking for a cheap restaurant	inform(pricerange,task,type)
moderately priced	inform(pricerange)
i want to find a restaurant in the east part of town	inform(area,type)
ostro asian	inform(food)
i want to find a restaurant in the west part of town and it should	inform(area,type)
looking for a moderately priced restaurant	inform(pricerange,type)
id like a international restaurant in the north part of town	inform(area,food,type)
i want a moderately priced restaurant in the north part of town	inform(area,pricerange,type)
system	null()
restaurant	inform(type)
breath im looking for a cheap restaurant serving catalan food	inform(food,pricerange,task,type)
cant	null()
im looking for a restaurant in the north part of town serving	inform(area,task,type)
unintelligible	null()
im looking for a restaurant in the west part of town	inform(area,task,type)
i want a european restaurant in the center part of town	inform(area,food,type)
im looking for a restaurant that serves mediterranean	inform(food,task,type)
cheap restaurant barbecue food	inform(food,pricerange,type)
turkish	inform(food)
looking for a restaurant in the west part of town that serves bistro food	inform(area,food,type)
noise	null()
i need a restaurant in the west part of town	inform(area,type)
im looking for an expensive restaurant in the south part of town	inform(area,pricerange,task,type)
sil	null()
im looking for a moderately priced restaurant	inform(pricerange,task,type)
im looking for a restaurant serving lebanese food	inform(food,task,type)
central inaudible	inform(area)
noise	null()
sil	null()
looking for a cheap restaurant in the west part of town	inform(area,pricerange,type)
im looking for uh restaurant serving caribbean food	inform(food,task,type)
sil	null()
an expensive unintelligible	inform(pricerange)
looking for romanian food in the center of town	inform(area,food)
i want to find an expensive restaurant in the south part of town	inform(area,pricerange,type)
uh	null()
im looking for a cheap restaurant in the east part of town	inform(area,pricerange,task,type)
looking for a moderately priced restaurant in the west part of town	inform(area,pricerange,type)
im looking for a cheap restaurant	inform(pricerange,task,type)
im looking for a moderately priced restaurant in the east part of town	inform(area,pricerange,task,type)
im looking at a cheap restaurant and it should be	inform(pricerange,type)
im looking for a restaurant in the north part of town that serves euro	inform(area,task,type)
i am looking for a singaporean restaurant in the north part of town	inform(area,food,task,type)
im looking for a cheap restaurant in the north part of town	inform(area,pricerange,task,type)
a restaurant in the center	inform(area,type)
a moderately priced restaurant	inform(pricerange,type)
im looking for a cheap restaurant in the west part of town	inform(area,pricerange,task,type)
im looking for vietnamese food	inform(food,task)
im looking for a restaurant in the east part of town serving australian	inform(area,food,task,type)
north	inform(area)
i want a cheap restaurant in the south part of town	inform(area,pricerange,type)
im looking for a moderate priced restaurant in the south part of	inform(area,pricerange,task,type)
im looking for a moderately priced restaurant serve hungarian food	inform(food,pricerange,task,type)
a want a cheap restaurant in the north part of town	inform(area,pricerange,type)
moderately priced restaurant south part of town	inform(area,pricerange,type)
moderately priced restaurant in the north part of town	inform(area,pricerange,type)
im looking for a moderately priced restaurant in the east part of town	inform(area,pricerange,task,type)
italian restaurant	inform(food,type)
moderately priced	inform(pricerange)
gastropub food	inform(food)
for spanish food	inform(food)
moderately priced restaurant	inform(pricerange,type)
i would like to find a restaurant in the south part of town that serves	inform(area,type)
i want to find a moderate priced restaurant that serves	inform(pricerange,type)
polynesian food in the south part of town	inform(area,food)
expensive	inform(pricerange)
noise	null()
im looking for a moderately priced restaurant in the south part of town	inform(area,pricerange,task,type)
a expensive restaurant serving japanese food	inform(food,pricerange,type)
i want to find a moderately priced restaurant	inform(pricerange,type)
im looking for a cheap restaurant in the west part of town	inform(area,pricerange,task,type)
a moderately priced restaurant that serves	inform(pricerange,type)
find me a moderately priced restaurant in the west part of town	inform(area,pricerange,type)
im looking for a restaurant that serves mexican food	inform(food,task,type)
i would like an expensive restaurant in the east part of	inform(area,pricerange,type)
north part of town	inform(area)
noise	null()
cheap restaurant	inform(pricerange,type)
i want a moderately priced restaurant in the west part of town	inform(area,pricerange,type)
i need a cheap restaurant in the south part of town	inform(area,pricerange,type)
uh looking for a restaurant in any area and that needs to serve	inform(area,type)
looking for a restaurant that serves portuguese food	inform(food,type)
id like a cheap restaurant in the east part of town	inform(area,pricerange,type)
expensive restaurant	inform(pricerange,type)
im looking for an expensive restaurant in the south part of town	inform(area,pricerange,task,type)
moderately priced restaurant	inform(pricerange,type)
expensive restaurant	inform(pricerange,type)
tuscan food	inform(food)
can i have a cheap restaurant in the west part of town	inform(area,pricerange,type)
i want to find a restaurant in the center that serves irish	inform(area,food,type)
i need a restaurant in the north part of town that serves ko	inform(area,type)
unintelligible	null()
looking for something moderately priced in the south of town	inform(area,pricerange)
japanese food	inform(food)
im looking for a moderately priced restaurant that serves	inform(pricerange,task,type)
i wanna find a moderately priced restaurant in the east part of t	inform(area,pricerange,type)
restaurant in the east part of town	inform(area,type)
i want to find a restaurant	inform(type)
im looking for a restaurant in the north	inform(area,task,type)
music im looking for a moderately priced restaurant in the south part of town please	inform(area,pricerange,task,type)
expensive	inform(pricerange)
north	inform(area)
looking for a cheap restaurant in the south part of town	inform(area,pricerange,type)
expensive restaurant that serves afghan food	inform(food,pricerange,type)
im looking for a moderately priced restaurant in the west part of town	inform(area,pricerange,task,type)
cheap restaurant west part of town	inform(area,pricerange,type)
yea im looking for an expensive restaurant that serves portuguese	inform(food,pricerange,task,type)
cough	null()
moderately priced restaurant in north part of town	inform(area,pricerange,type)
id like a restaurant in any area that serves japanese food	inform(area,food,type)
cheap restaurant	inform(pricerange,type)
sil	null()
id like a restaurant in the west part of town	inform(area,type)
north	inform(area)
traditional food	inform(food)
can i get a restaurant	inform(type)
im looking for an expensive restaurant that serves korean food	inform(food,pricerange,task,type)
looking for a restaurant in the north part of town	inform(area,type)
im looking for a restaurant in the west part of town	inform(area,task,type)
creative food	inform(food)
breath im looking for a restaurant in the east part of tow	inform(area,task,type)
i need to find a moderately priced restaurant	inform(pricerange,type)
im looking for a moderately priced restaurant in the east part of	inform(area,pricerange,task,type)
unusual	inform(food)
im looking for a cheap restaurant serving international food	inform(food,pricerange,task,type)
a moderately priced restaurant	inform(pricerange,type)
moderately priced	inform(pricerange)
barbecue	inform(food)
im looking for an expensive restaurant in the south part of town	inform(area,pricerange,task,type)
id like a restaurant in south part of town that serves japanese	inform(area,food,type)
cheap restaurant	inform(pricerange,type)
im looking for a restaurant in the west part of town serving	inform(area,task,type)
sil	null()
im looking for expensive restaurants in the east part of town	inform(area,pricerange,task,type)
i am searching for a moderately priced restaurant in the east part of	inform(area,pricerange,type)
expensive restaurant	inform(pricerange,type)
i would like to find an expensive restaurant in the south part	inform(area,pricerange,type)
i would like a cheap	inform(pricerange)
looking for african food in the center of town	inform(area,food)
sil	null()
expensive restaurant	inform(pricerange,type)
im looking for a restaurant in the center part of town that serves unusual food	inform(area,food,task,type)
i want a scandinavian restaurant thats expensive	inform(food,pricerange,type)
im looking for mexican food	inform(food,task)
oh	null()
looking for a moderately priced restaurant in the north of town	inform(area,pricerange,type)
british	inform(food)
thai food	inform(food)
noise	null()
looking for a restaurant in the center of town that sells french	inform(area,food,type)
german food	inform(food)
looking for a moderately priced restaurant in the south part of	inform(area,pricerange,type)
im looking for a restaurant in the center park of town that serves	inform(area,task,type)
cheap restaurant	inform(pricerange,type)
im looking for a restaurant in the north part of town and it should african food	inform(area,food,task,type)
im looking for an expensive restaurant in the east part	inform(area,pricerange,task,type)
im looking for a moderately priced restaurant and it should be in the north	inform(area,pricerange,task,type)
i would like a cheap restaurant in the south part of town	inform(area,pricerange,type)
moderately priced restaurant in the south part of town	inform(area,pricerange,type)
i am looking for a cheap restaurant in the east part of town	inform(area,pricerange,task,type)
restaurant in the north part of town	inform(area,type)
im looking for an expensive restaurant and it should serve unusual food	inform(food,pricerange,task,type)
im looking for a cheap restaurant in the west part of town	inform(area,pricerange,task,type)
im looking for a moderately priced restaurant	inform(pricerange,task,type)
im looking for a restaurant in the north part of town	inform(area,task,type)
unintelligible	null()
looking for a cheap restaurant in the east part of town	inform(area,pricerange,type)
north	inform(area)
i want to find a expensive restaurant in the south part of town	inform(area,pricerange,type)
im looking for expensive restaurants that serve mediterranean food	inform(food,pricerange,task,type)
im looking for a restaurant that serves bistro food in the center of	inform(area,food,task,type)
sil	null()
steakhouse	inform(food)
find me an expensive restaurant	inform(pricerange,type)
noise	null()
unintelligible	null()
looking for something cheap	inform(pricerange)
a cheap restaurant in the north part of town	inform(area,pricerange,type)
noise	null()
i am looking for sweedish food	inform(food,task,type)
i need a cheap restaurant	inform(pricerange,type)
breath id like a cheap restaurant in the south part of town	inform(area,pricerange,type)
i would like to find a moderately priced restaurant	inform(pricerange,type)
moderately priced in the west part of town	inform(area,pricerange)
can i have spanish food in	inform(food)
vietnamese food	inform(food)
yes uh turkish food in my area	inform(area,food)
i want a cheap restaurant in the west part of town	inform(area,pricerange,type)
cheap restaurant	inform(pricerange,type)
sil	null()
