	x	y
90	in the next 48 hours will it rain in alhambra?	date&location&weather_attribute
91	what is the forecast in my city	location&weather_attribute
92	inglewood, what's the weekly weather looking like?	date&location
93	when is it expected to snow?	weather_attribute
94	what is the weather next week	date
95	mountain view please.	location
96	will it be hot any of the days?	date&weather_attribute
97	set a reminder that i have football at 1pm next wednesday with martha 	date&event&party&time
98	what is the date and time of my doctor appointment?	event
99	on tuesday in san mateo find out if it will be warm	date&location&weather_attribute
100	find out immediately the location, time, and date for my meeting. 	event
101	will it be windy in durham this week?	date&location&weather_attribute
102	give me directions to the nearest shopping center	distance&poi_type
103	can you pick the shortest distance to go there?	distance
104	will there be dew in brentwood this week?	date&location&weather_attribute
105	what time and date is my lab appointment?	event
106	give me the forecast for the next 7 days	date&weather_attribute
107	redwood city please.	date&location
108	when is my next meeting	event
109	give me directions to the nearest grocery store	distance&poi_type
110	sure, please send me its address on screen and pick a route to avoid all heavy traffic	traffic_info
111	check the weather for the 7 day forecast	date
112	los angeles, please. will it be hot?	location&weather_attribute
113	please give me the address and directions via the quickest route to a hospital around me. 	poi_type&traffic_info
114	what day is my lab appointment, and who all will be there?	event
115	i feel like some coffee where's the nearest place	distance&poi_type
116	are they any closer options?	distance
117	then let's go there, please pick a quick route for me	distance&poi&poi_type&traffic_info
118	when am i playing tennis	date
119	set reminder for doctor's appointment for the tenth	date&event
120	schedule a dentist appointment at 3 next month on the 12th	date&event&time
121	show me the nearest shopping mall	distance&poi_type
122	set gps for a route without any traffic.	traffic_info
123	is there an alternate mall with no traffic on the route?	traffic_info
124	tell me when my dentist appointment is	event
125	check forecast for new york	location
126	thank you. i would like to know if there will be frost in new york anytime over the next 7 days?	date&location&weather_attribute
127	can you direct me to a coffee or tea place nearby, preferably on a route with no traffic?	poi_type
128	give me directions to the nearest mall	distance&poi_type
129	thank you car, please set the gps with the fastest route to get there	distance&poi
130	what is the weather like today and tomorrow	date
131	will it rain in mountain view?	date&location&weather_attribute
132	where is the nearby hospital?	poi_type
133	give me the address to stanford childrens health.	poi
134	set a reminder for doctors appointment on august 14th at 4pm with my sister	date&event&party&time
135	what date is my football activity and who is attending?	event
136	check if there will be hail in cleveland this weekend. 	date&location&weather_attribute
137	what time is yoga class	event
138	schedule a 6 pm meeting with my boss to go over the quarterly report on tuesday.	agenda&date&event&party&time
139	show me the closest location where i can get chinese food	distance&poi_type
140	where is there a hospital around me?	distance&poi_type
141	ok, please give me the address and direct me there via a quick route. 	distance&poi&poi_type&traffic_info
142	find me a nearby shopping mall shopping center	distance&poi_type
143	will it snow in fresno in the next week? 	date&location&weather_attribute
144	remind me to go swimming on the 12th of this month	date&event
145	is it going to snow in the next 7 days	date&weather_attribute
146	boston	date&location&weather_attribute
147	car i need to get to a rest stop, please pick something with a quick route within 2 miles from here	poi_type&traffic_info
148	what is the date and time of my next football activity.	event
149	where can i go shopping?	poi_type
150	find out some information for my swimming activity, parties joining me and date. 	event
151	the one on the 8th.	date
152	where is there chinese food?	poi_type
153	pick a route to avoid all heavy traffic and let's go there, thank you!	poi&traffic_info
154	what is the weather like for tomorrow night	date
155	brentwood	location
156	check to see if i have any meetings or conferences in the near future	event
157	find the nearest coffee shop	distance&poi
158	yes, please, send it on my screen and pick a route to avoid all heavy traffic	address&poi&traffic_info
159	yes please.	poi
160	directions to coffee and tea house	poi
161	pick the one near my current location and avoid all heavy traffic please	distance&traffic_info
162	ok, give me the address to philz	poi
163	set an optometrist appointment for 3pm on the 15th of this month with my aunt	date&event&party&time
164	where is the hospital?	poi_type
165	yes, thank you	address&poi&poi_type
166	get me the weather forecast for the next 7 days	date
167	new york	date&location&weather_attribute
168	get me the weather report for this week	date
169	will there be a blizzard in inglewood?	location&weather_attribute
170	is it dry in fresno right now?	date&location&weather_attribute
171	what time is my meeting at	agenda&event
172	what's the forecast going to be for today and tomorrow	date
173	today and tomorrow, will there be clear skies in compton?	date&location&weather_attribute
174	please give me the address and directions by the fastest route to a coffee or tea place. avoid heavy traffic please. 	distance&poi_type&traffic_info
175	yes show me the address.	poi
176	put my optometrist appointment in my calendar	event
177		event
178	give me directions to the local coffee shop	poi_type
179	would you give me route details please?	address&distance&poi&poi_type&traffic_info
180	what is the current temperature	date&weather_attribute
181	redwood city	date&location&weather_attribute
182	where is the closest shopping center located at?	distance&poi
183	please give me directions via a quick route. thank you. 	poi&traffic_info
184	will it be stormy in grand rapids during the week?	date&location&weather_attribute
185	please give me the address and directions via the quickest route to the nearest gas station. 	distance&poi_type&traffic_info
186	let's try to go to shell.	poi
187	ok car assitant, plot the quickest route to shell.	address&distance&poi&poi_type&traffic_info
188	remind me that next week at 5pm i have tennis with jon.	date&event&party&time
189	what's the weather today	date
190	the temperature in exeter.	location&weather_attribute
191	update me on the weekly weather forecast for this week	date
192	will it be dry in durham next week?	date&location&weather_attribute
193	schedule doctor's appointment for august 3 at 10	agenda&date&time
194	is it cloudy today	date&weather_attribute
195	menlo park.	location
196	will there be clear skies in redwood city next week?	date&location&weather_attribute
197	where can i eat pizza?	poi_type
198	give me the address and name of the restaurant that is closest and located via the quickest route, please. 	distance
199	what are some nearby hotels	poi
200	send me its address and pick a route to avoid all heavy traffic please	traffic_info
201	find a parking garage.	poi
202	make a reminder for me to pick up my prescription later today	event&time
203	show me what time i need to take my pills	event
204	find home address that is within the distance of 5 miles.	distance&poi&poi_type
205	remind me about my football activity on the 1st, at 1 pm with my brother	date&event&party&time
206	set an appointment for a meeting on my calendar	event
207	find out if it will drizzle today or tomorrow in downtown chicago	date&location&weather_attribute
208	when is the football?	event
209	who is going?	event
210	i need to find out the time and parties attending my optometrist appointment. 	event
211	i want to know about the one that alex is joining me at	event&party
212	where can i go shopping?	poi_type
213	car i need to go to a grocery store: which one is it the closest to me?	distance&poi_type
214	would you give me the address and enter directions to the location?	distance&poi&poi_type
215	what time is my yoga class	event
216	what's the weather going to be like this week	date
217	is it going to foggy is compton anytime this week?	date&location&weather_attribute
218	on what day will it be foggy?	weather_attribute
219	remind me about the date and time that he was going to be there and what the agenda is for his business meaning	event
220	i would like to know what time and day my tennis is. 	event
221	where is there a shopping center within 5 miles?	distance&poi_type
222	mmm, no, i wanted some route with no traffic... is it the only option?	traffic_info
223	what is the weather going to be today and tomorrow	date
224	compton, please!	location
225	get directions to home	poi
226	i need a route with no traffic please. 	traffic_info
227	get me directions to the closest starbucks	distance&poi
228	where can i fill up?	poi_type
229	can i get the fastest route please.	traffic_info
230	what is the date, time, and agenda of my next conference?	event
231	i need a route to my friends that avoids heavy traffic. 	poi_type&traffic_info
232	what's the temperature going to be like this week	date&weather_attribute
233	cleveland	date&location&weather_attribute
234	where can i get some tea.	poi_type
235	yes, please! send me the fastest route with no traffic	poi&traffic_info
236	what is the forecast for new york city	location
237	okay, will there be clear skies on thursday?	date&location&weather_attribute
238	where can i get pizza?	poi_type
239	will it be windy in corona on wednesday?	date&location&weather_attribute
240	give me this week's high temperature	date&weather_attribute
241	in mountain view, please. 	date&location&weather_attribute
242	what is the date and time of my optometrist appointment?	event
243	take me home	poi&poi_type
244	thank you, pick the route with no traffic please	traffic_info
245	find a tea shop	poi_type
246	what are the directions to the mall	poi_type
247	yes, please.	poi
248	find nearest coffee shop	distance&poi
249	is the starbucks within 5 miles of here? if so, please direct me to the starbucks via the quickest route. 	distance
250	what's the weather like in grand rapids	location
251	will it be windy in grand rapids during next week?	date&location&weather_attribute
252	where can i get coffee	poi_type
253	yes, please pick a quick route to go there and send it on my screen!	distance&poi
254	what's the weather going to be today and also what is the weather going to be this week	date
255	i need weather information for today, especially about the temperature, for downtown chicago.	date&location&weather_attribute
256	where can i go shopping?	poi_type
257	would you give me the address of the location and directions by the quickest route?	distance
258	what hospitals are nearby?	distance&poi
259	yes.	poi
260	set reminder for laboratory request on this month on the 12th	date&event
261	when, where, and what time is my meeting, and who will be there?	event
262	okay and where is the meeting?	event&room
263	will it be hot in grand rapids on friday?	date&location&weather_attribute
264	what is the shortest route to home?	distance&poi_type
265	remind me when i can get my lab results	event
266	tomorrow's forecast	date&weather_attribute
267	i need the forecast in alhambra for tomorrow please. 	date&location
268	find me the best parking spot	poi_type
269	what is traffic like on the route to those locations and can you send me directions to the one without any traffic?	poi_type&traffic_info
270	yes, please give me directions via the fastest possible route. 	distance&poi&poi_type&traffic_info
271	set a reminder to take medicine at 10am on the 11th with my brother	date&event&party&time
272	set a reminder for a lab appointment on the 13th at 4pm with jeff.	date&event&party&time
273	schedule a conference with management on monday august 8th at 10am.	date&event&party&time
274	what is the weather like in new york city	location
275	there will be clear skies today?	date&weather_attribute
276	in mountain view, will there be frost today or tomorrow?	date&location&weather_attribute
277	what's the weather like this week	date
278	i would like to find out if it will be dry this week in new york	date&location&weather_attribute
279	what's the weather forecast going to be for each day this upcoming week is it going to snow	date
280	new york, please.	date&location&weather_attribute
281	i need to know who is going with me to optometrist appointment  and what day. 	event
282	what is the temperature for the next 7 days weather forecast	date
283	brentwood please	date&location&weather_attribute
284	where is the nearest rest stop?	distance&poi_type
285	give me the address and directions to the hotel that is located on the quickest route. 	distance&poi_type&traffic_info
286	where is the closest hospital?	poi_type
287	let's go there through the fastest way and with least traffic too, please	traffic_info
288	can you find out who is joining me and what day my optometrist appointment is at?	event
289	over the next few days will it rain in fresno	date&location&weather_attribute
290	what's the weekly weather report for the city	date&location
291	cleveland	location
292	will it be humid in inglewood during the next few days?	date&location&weather_attribute
293	will there be dew in menlo park next week? 	date&location&weather_attribute
294	will it be warm in san mateo over the weekend?	date&location&weather_attribute
295	take me to the nearest shopping center	distance&poi
296	give me the quickest route.	traffic_info
297	give me directions to my friends house	poi_type
298	i want pizza.	poi_type
299	yes, i'd like the route nearest me with no heavy traffic	poi&traffic_info
300	where can i go shopping?	poi_type
301	is it within 3 miles of my location?	distance
302	please give me the quickest route. 	distance
303	on thursday will it be overcast in exeter?	date&location&weather_attribute
304	what is the date and time for my doctor appointment? 	event
305	thanks set the gps to the avoid the heavy traffic please.	poi&traffic_info
306	remind me of a doctors appointment on the 29th	date&event
307	which one is gonna be the lowest temperature today and tomorrow in fresno?	date&location&weather_attribute
308	car, will you schedule a doctor's appointment for me? set it for 11 am, tomorrow, with jon.	date&event&party&time
309	what's the current temperature outside	date&weather_attribute
310	i'm located in exeter.	date&location&weather_attribute
311	what's the weather forecast for tomorrow	date
312	boston.	date&location&weather_attribute
313	find a grocery market for me please.	poi_type
314	how is the traffic around the area?	traffic_info
315	take me to the nearest grocery store	distance&poi_type
316	please give directions to that store by the fastest route. thank you. 	distance&poi&poi_type&traffic_info
317	i need to make an appointment to get lab testing done on a certain date	event
318	find me a nearby tea or coffee shop	distance&poi
319	yes and avoid all heavy traffic please. 	poi&traffic_info
320	please set the gps to this location. 	address&distance&poi&poi_type&traffic_info
321	remind me about my doctor's visit	event
322	what time is my optometrist appointment and who all will be there?	event
323	please tell me the weather for today and tomorrow	date
324	i want to know if it will be snowing in fresno.	location&weather_attribute
325	what time is my doctor appointment and who is attending?	event
326	the one on thursday please.	date&event
327	find me all the nearest hotels	distance&poi
328	yes, please, send it on map along with the fastest route too	distance&poi
329	i'd like to set a reminder for my meeting at 2pm later this month please.	date&event&time
330	it's on the 11th with management to discuss the company picnic.	agenda&date&event&party
331	take me to the nearest starbucks please	distance&poi
332	yes, please, send the address on my screen and pick the quickest route for me!	distance&poi
333	can you give me directions to the nearest starbucks	distance&poi
334	yes, please, check if there is a route with no traffic and send me its address on the screen	poi&traffic_info
335	schedule conference. 	event
336	set it for today at 4pm with my boss	date&event&party&time
337	is there a chance of snow in this weeks weather forecast	date&weather_attribute
338	san francisco.	location
339	is there a grocery store close?	poi_type
340	what is the temperature outside	weather_attribute
341	what is the temperature in camarillo right now?	location&weather_attribute
342	what is the weather supposed to be like for the next week	date
343	san francisco, will there be a blizzard, anytime this week?	date&location&weather_attribute
344	what is the time of my swimming activity and who is attending?	event
345	what time is my doctor's appointment today	event
346	can you find me a coffee place near me?	distance&poi_type
347	give me directions to my friends house	poi_type
348	ok, please give me route details with no traffic. 	traffic_info
349	check the weather for the 7 day forecast	date
350	manhattan, please. 	location
351	what's the temperature going to be for the week	date&weather_attribute
352	san jose	location
353	i want the whole week.	date
354	remind me about my optometrist appointment with my father on the 29th, at 7 pm	date&event&party&time
355	what time is the meeting	event
356	please tell me the weather for today and tomorrow	date
357	set a reminder for today's optometrist appointment at 3 with my mom	event&party&time
358	i need to find a gas station fast, we are about out. 	poi_type
359	find my home address for me around here in this area.	distance&poi_type
360	navigate to the nearest fast food restaurant	distance&poi_type
361	is there a grocery store within 5 miles? 	distance&poi_type
362	show me the route to coffee shop	poi_type
363	is it the quickest to get to from my current location?	distance
364	set gps on route to avoid heavy traffic.	traffic_info
365	tell me the date and time of my next doctor's appointment	event&time
366	doctor's appointment at 10 am on monday august 8th	event&time
367	what's the temperature for today	date&weather_attribute
368	i want to know the temperature in boston.	date&location&weather_attribute
369	will it be hot in redwood city on monday?	date&location&weather_attribute
370	schedule a swimming activity with marie for friday at 1pm.	date&event&party&time
371	when is my yoga?	event
372	what is the date and time for the yoga activity?	event
373	schedule my dentist appointment on the 12th	date&event
374	10am, please.	time
375	remind me about the football game	event
376	directions to local hotel	distance&poi
377	what about a rest stop while avoiding heavy traffic.	poi&traffic_info
378	will there be drizzle in the forecast for oakland this week?	date&location&weather_attribute
379	schedule an appointment for yoga	event
380	what is the date of my next dinner and who will be attending it?	event
381	can you find me a gas station nearby?	distance&poi_type
382	which one is it the quickest way to get there?	distance
383	schedule a optometrist appointment for thursday at 5pm. my father is joining me.	date&event&party&time
384	find out if alhambra will be dry this week	date&location&weather_attribute
385	what's the temperature	weather_attribute
386	i need to know the temperature for seattle on monday car. 	date&location&weather_attribute
387	take me to a place where i can get something to eat	poi_type
388	thank you very much car, please send the address on the screen and let's go there.	poi
389	where is my meeting, which parties will be attending, and what is the meeting about?	event
390	is it going to be raining this weekend	date&weather_attribute
391	los angeles, thank you!	location
392	where can i get pizza?	poi_type
393	which is closer?	distance
394	please give me the fastest route to reach there!	distance
395	what is the weather in new york city	location
396	i'd like to know the weather overcast in the next weekend	date&weather_attribute
397	check the next 48 hours and tell me is alameda will be misty.	date&location&weather_attribute
398	is it going to be cloudy in the next 7 days	date&weather_attribute
399	i'm in boston but i will only be needing info on the next two days.	date&location
400	i want to know if it will hail in compton on sunday	date&location&weather_attribute
401	set an alarm for my doctor's appointment	event
402	please set it on the 12th of this month at 3 pm	date&event&time
403	give me directions to a coffee place	poi_type
404	please pick the fastest route and bring me there, thank you!	distance&poi
405	pick the fastest route for me car, thank you!	poi
406	locate my friends address for me.	poi_type
407	the closest one, it should be jill if i'm not wrong	address&distance
408	will there be frost in atherton on friday? 	date&location&weather_attribute
409	will it be humid in exeter tomorrow?	date&location&weather_attribute
410	can i expect to see clear skies in compton next week?	date&location&weather_attribute
411	what's the temperature going to be for the week	date&weather_attribute
412	fresno	date&location&weather_attribute
413	what's the forecast for the weather today	date
414	tell me redwood city's forecast today, if it's going to be windy or not?	date&location&weather_attribute
415	who will be at my lab appointment and what day is it?	event
416	add a meeting to my calendar	event
417	what time do i have to take my medicine and who will be here?	event
418	what's the temperature in city	weather_attribute
419	find out the temperature in inglewood on sunday	date&location&weather_attribute
420	is there any rain in the current weather forecast in inglewood?	date&location&weather_attribute
421	what's the 7 day forecast in brentwood?	date&location
422	does the local forecasts say it'll be cloudy	weather_attribute
423	what about for brentwood?	location
424	where can i get groceries?	poi_type
425	yes and find me the fastest route please.	traffic_info
426	remind me that i have a doctors appointment at 5 pm	event&time
427	what time is dinner and who is attending?	event
428	the one on the 10th	date
429	what is the weather like today	date
430	cleveland, please, i'd like to know if it's gonna snow today	date&location&weather_attribute
431	schedule my dentist appointment on the 12th	date&event
432	what is the date and time of my next optometrist appointment?	event
433	find starbucks	poi
434	pick a route to avoid all heavy traffic and let's go there, thank you!	poi&traffic_info
435	is it gonna hail in mountain view this week?	date&location&weather_attribute
436	find me a chinese spot i could get to the quickest.	distance&poi_type
437	what time is my meeting	event
438	is it snowing next week	date&weather_attribute
439	i'm in grand rapids, find out if there will be snow this week. 	date&location&weather_attribute
440	when is my next meeting	event
441	find me a tea house	poi_type
442	yes, what's the address?	poi&poi_type
443	where is the rest stop within 2 miles?	distance&poi_type
444	please pic the route with the shortest distance and let's go there	distance
445	tell me the closest place to get a cup of hot tea	distance&poi_type
446	is there a coffee shop within 4 miles? if not, please give me directions via the shortest route. 	distance
447	yes, thank you car, let's go!	address&distance&poi&poi_type&traffic_info
448	navigate to the closest restaurant	distance&poi_type
449	what is the agenda for the conference?	event
450	okay perfect. what day and time is the conference on?	event
451	will it be misty in alameda next week?	date&location&weather_attribute
452	what is the weather for next week	date
453	redwood city	location
454	will it be cloudy any day of the week?	date&weather_attribute
455	find out if it is going to rain on friday in cleveland please. 	date&location&weather_attribute
456	car i need to buy groceries: is there any grocery store on our way?	distance&poi_type
457	is there traffic on the route to sigona farmers market? if not, please direct me there. 	poi
458	what is the weather for today	date
459	please find it for exeter.	location
460	are there gonna be clear skies on sunday in durham?	date&location&weather_attribute
461	i need to find out the time and the parties attending my yoga activity. 	event
462	how cloudy is it going to be for the next week	date&weather_attribute
463	san jose	location
464	set a reminder for my tennis activity at 6pm this week with martha.	date&event&party&time
465	what is the address of the local hospital?	poi_type
466	where can i get tea?	poi_type
467	let's go to the place 1 miles away. would you give me directions and an address, please?	distance
468	what are the directions to the nearest hospital	distance&poi_type
469	is there another option with less traffic? 	traffic_info
470	is there any dew in the forecast over the next few days in durham?	date&location&weather_attribute
471	schedule a conference for 11 am on the 6th of this month with sales team.	date&event&party&time
472	can you give me the address and the quickest route directions to a gas station within two miles of here?	distance&poi_type
473	ok, please give me the address and directions via the shortest distance. 	address
474	when is my dentist appointment? who am i going with?	event
475	give me directions home	poi&poi_type
476	is it going to rain this week	date&weather_attribute
477	san jose.	date&location&weather_attribute
478	where are the rest stops near me?	distance&poi_type
479	what is my home address and what is the route i can take there with the least traffic that will get me there the quickest?	poi&traffic_info
480	what is the weather report for durham today and tomorrow?	date&location
481	please give me an address and directions via the fastest route to a coffee or tea place around me. 	distance&poi_type&traffic_info
482	please give me the address and directions via a route that avoids all heavy traffic to a hospital around here. 	poi_type&traffic_info
483	okay, send me a route there that avoids all heavy traffic	traffic_info
484	i have a dinner. when is it and who is attending	event
485	give me directions to the nearest parking garage	distance&poi_type
486	thank you very much car! please bring me there through a quick route	poi
487	what's the weekly weather report for the city	date&location
488	i am interested in redwood city.	date&location
489	what day will it be foggy?	date&location&weather_attribute
490	is it currently rainy in fresno	date&location&weather_attribute
491	take me home	poi&poi_type
492	confirm the address please, and give me directions via a route with no traffic if possible. 	traffic_info
493	navigate to the closest restaurant	distance&poi_type
494	that sounds great, let's go there. 	distance&poi&poi_type
495	i need help finding a grocery store.	poi_type
496	what is the address?	poi&poi_type
497	yes, please, just pick the shortest distance	distance
498	schedule a meeting on december 10th at 2pm with the infrastructure team to discuss the merger.	agenda&date&event&party&time
499	will it be cloudy in san jose this week?	date&location&weather_attribute
500	what's the highest temperature going to be in grand rapids tomorrow?	date&location&weather_attribute
501	are there shopping centers nearby?	poi
502	is it foggy in exeter today	date&location&weather_attribute
503	please show me the weekly weather report	date
504	i need the weekly forecast for boston, please. 	date&location
505	where is the nearest rest stop?	distance&poi_type
506	find me the closest fast food place that serves chinese	distance&poi&poi_type
507	i need a pizza restaurant please not chinese, i'm sorry.	poi_type
508	yes please.	poi
509	schedule a yoga activity with martha for the 4th at 10am.	date&event&party&time
510	who is going to play tennis with me? 	event
511	what time will we be meeting for this?	event
512	where is it located?	event
513	car i'm desiring coffee: which one is the closest to my position?	distance&poi_type
514	car what is the weather going to be like in the next several days	date
515	will it rain in inglewood this weekend? 	date&location&weather_attribute
516	search for nearest fast food restaurants	poi_type
517	thank you car, set the gps to go there please!	distance&poi&poi_type
518	where do i live?	poi&poi_type
519	is that the quickest route?	distance
520	check today's forecast for rain	date&weather_attribute
521	i need the forecast for san francisco please. for today to be exact. 	date&location&weather_attribute
522	where does my friend live?	poi_type
523	the one i can get to quickest. 	distance
524	schedule a dinner at 5pm of the 12th of current month with my father.	date&event&party&time
525	car i need a parking garage in the area around me: please send the fastest route on my screen	distance&poi_type&traffic_info
526	is it going to rain in exeter over the next few days?	date&location&weather_attribute
527	schedule an appointment with the optometrist on the 12th	event&time
528	what's the weekly weather report for the city	date
529	will it be humid in fresno this week?	date&location&weather_attribute
530	what is the forecast for new york city	location
531	i'm desiring to eat at some chinese restaurant: please pick the nearest one!	distance&poi_type
532	please pick a route with no traffic and send me its position on the screen	traffic_info
533	on my calendar set a time for tennis at 12 pm	event&time
534	set the reminder for tennis to be on the august 12th.	date&event
535	schedule dinner at 3pm next week with sister	date&event&party&time
536	is it going to rain at all this upcoming week	date&weather_attribute
537	new york	location
538	remind me to go get a shot tomorrow	date&event
539	find me a tea house	poi_type
540	yes, give me the address.	poi
541	find the nearest restaurant with chinese take-out	distance&poi_type
542	ok, plot a route there using the quickest route and avoiding heavy traffic. 	distance&traffic_info
543	car i need to go to a grocery store	poi_type
544	yes, please, pick a route to avoid all heavy traffic	address&poi&poi_type&traffic_info
545	then let's go there car, thank you!	address&poi&poi_type&traffic_info
546	give me this week's high temperature	date&weather_attribute
547	give me the temperature in downtown chicago for the week.	date&location&weather_attribute
548	will there be frost in alameda tomorrow?	date&location&weather_attribute
549	is there rain on sunday	date&weather_attribute
550	compton.	location
551	is it cloudy in the next 7 days	date&weather_attribute
552	corona	date&location&weather_attribute
553	what are some nearby restaurants	distance&poi_type
554	pick the quickest one and show me the quick route to reach, please	distance
555	car i need to get to some rest stop, i'm tired, please find something in the local area	poi_type
556	is there any traffic on the way there?	traffic_info
557	schedule a football activity with my aunt on the 5th at 4pm.	date&event&party&time
558	is it going to rain this week	date&weather_attribute
559	grand rapids	date&location&weather_attribute
560	schedule a optometrist appointment on the 7th at 2 pm with jon. 	date&event&party&time
561	add a meeting to my calendar	event
562	wednesday at 2 pm. it is with hr to go over the budget. 	agenda&party&time
563	is it snowy in fresno	location&weather_attribute
564	monday's forecast in fresno.	date&location
565	what time is the group meeting	event
566	what's the forecast for today	date
567	will it be cloudy in san mateo today?	date&location&weather_attribute
568	what is the weather like right now	date
569	i want to know if it is humid in san jose now.	date&location&weather_attribute
570	look at today and tomorrow's forecast and tell me if there will be a blizzard in mountain view	date&location&weather_attribute
571	who is taking medicine with me and on what day?	event
572	schedule an appointment at 7pm today with jeff the optometrist, please	date&event&party&time
573	what is the location and time of the meeting, and who is attending?	event
574	how cloudy is it going to be for the next week	date&weather_attribute
575	boston please	location
576	what is the weather report for saturday in manhattan?	date&location
577	is there any traffic on the route home	address&poi&poi_type&traffic_info
578	please confirm the address and give me directions via a quick route. 	distance
579	car i want to have some tea! is there anything in the area?	poi_type
580	which one is in the shortest distance?	distance
581	let me know if there will be snow and ice in the next week's forecast	date&weather_attribute
582	mountain view	location
583	what is the weather today in tomorrow	date
584	i want to know if it will be humid in alhambra today.	date&location&weather_attribute
585	where is the closest shopping center?	poi_type
586	will there be dew in redwood city in the weekend?	date&location&weather_attribute
587	take me to the nearest hospital	distance&poi_type
588	what is the weather going to be like today and tomorrow	date
589	i need this information for menlo park, and i need to know if it will snow as well.	location&weather_attribute
590	what is the date of my next dinner event and who will be attending?	event
591	will it be cloudy in manhattan today and tomorrow?	date&location&weather_attribute
592	navigate to the nearest mall	distance&poi_type
